NAME,SURNAME,EMAIL_ID,MARKS,PREF1,PREF2,PREF3,ALLOTMENT,PSWD
Jimmie,Beck,jimmie.beck@gmail.com,178,0,1,3,Computer,clg
Fritz,Wilks,fritz.wilks@gmail.com,50,0,1,3,Electronics,clg
Jean,Mata,jean.mata@gmail.com,102,0,1,3,Electronics,clg
Vincent,Antoine,vincent.antoine@gmail.com,133,0,1,3,--,clg
Richard,Dumas,richard.dumas@gmail.com,71,0,1,3,IT,clg
Mary,Kimbrell,mary.kimbrell@gmail.com,128,0,1,3,--,clg
Michael,Eaton,michael.eaton@gmail.com,158,0,1,3,--,clg
Monica,Allen,monica.allen@gmail.com,123,0,1,3,--,clg
Charles,Kummer,charles.kummer@gmail.com,123,0,1,3,--,clg
Wilma,Uppencamp,wilma.uppencamp@gmail.com,128,0,1,3,IT,clg
Royce,Redman,royce.redman@gmail.com,92,0,1,3,Electronics,clg
Matthew,Ransom,matthew.ransom@gmail.com,98,0,1,3,Computer,clg
Raymon,Stevens,raymon.stevens@gmail.com,66,0,1,3,Electronics,clg
Darwin,Dunn,darwin.dunn@gmail.com,142,0,1,3,IT,clg
David,Pierce,david.pierce@gmail.com,190,0,1,3,--,clg
Jerry,Anderson,jerry.anderson@gmail.com,171,0,1,3,--,clg
Mary,King,mary.king@gmail.com,124,0,1,3,--,clg
Nellie,Williamson,nellie.williamson@gmail.com,89,0,1,3,--,clg
John,Oliver,john.oliver@gmail.com,50,0,1,3,Computer,clg
Steven,Sacarello,steven.sacarello@gmail.com,99,0,1,3,--,clg
Irene,Napier,irene.napier@gmail.com,124,0,1,3,Computer,clg
Robert,Landres,robert.landres@gmail.com,112,0,1,3,--,clg
Michael,Hiltner,michael.hiltner@gmail.com,147,0,1,3,--,clg
Eugene,Valdes,eugene.valdes@gmail.com,69,0,1,3,Electronics,clg
Christopher,Millerbernd,christopher.millerbernd@gmail.com,68,0,1,3,--,clg
James,Papenfuss,james.papenfuss@gmail.com,199,0,1,3,--,clg
